id,focus,signal,slack,drag,confidence,score,lane
l001,quota pressure,35,33,6,25,156,watch
l002,route drift,35,34,6,55,218,ship
l003,secret scope,35,35,6,85,280,ship
l004,rollout width,35,36,18,25,102,hold
l005,quota pressure,35,37,18,55,164,watch
l006,route drift,35,38,18,85,226,ship
l007,secret scope,35,39,34,25,28,hold
l008,rollout width,35,40,34,55,90,hold
l009,quota pressure,35,41,34,85,152,watch
l010,route drift,60,42,6,25,224,ship
l011,secret scope,60,43,6,55,286,ship
l012,rollout width,60,44,6,85,348,ship
l013,quota pressure,60,45,18,25,170,watch
l014,route drift,60,46,18,55,232,ship
l015,secret scope,60,47,18,85,294,ship
l016,rollout width,60,48,34,25,96,hold
l017,quota pressure,60,32,34,55,124,watch
l018,route drift,60,33,34,85,186,ship
l019,secret scope,85,34,6,25,258,ship
l020,rollout width,85,35,6,55,320,ship
l021,quota pressure,85,36,6,85,382,ship
l022,route drift,85,37,18,25,204,ship
l023,secret scope,85,38,18,55,266,ship
l024,rollout width,85,39,18,85,328,ship
l025,quota pressure,85,40,34,25,130,watch
l026,route drift,85,41,34,55,192,ship
l027,secret scope,85,42,34,85,254,ship
